,id,name,equation,CH4 + AQDS rep 1
0,ATPM_c0,ATPM ANME,H2O [c0] + ATP [c0] --> ADP [c0] + Phosphate [c0] + H+ [c0],0.0
1,EX_cpd00001_e0,Exchange for H2O [e0],H2O [e0] <=> ,-1.93783539590373
2,EX_cpd00007_e0,Exchange for O2 [e0],O2 [e0] --> ,0.0
3,EX_cpd00009_e0,Exchange for Phosphate [e0],Phosphate [e0] <=> ,-0.006220679268991572
4,EX_cpd00011_e0,Exchange for CO2 [e0],CO2 [e0] <=> ,0.9648025139162838
5,EX_cpd00012_e0,Exchange for PPi [e0],PPi [e0] --> ,0.0027299031751071273
6,EX_cpd00013_e0,Exchange for NH3 [e0],NH3 [e0] <=> ,-0.009332752017323576
7,EX_cpd00020_e0,Exchange for Pyruvate [e0],Pyruvate [e0] --> ,-0.0
8,EX_cpd00028_e0,Exchange for Heme [e0],Heme [e0] --> ,0.0
9,EX_cpd00029_e0,Exchange for Acetate [e0],Acetate [e0] --> ,0.0008520875141334251
10,EX_cpd00034_e0,Exchange for Zn2+ [e0],Zn2+ [e0] <=> ,-0.0
11,EX_cpd00047_e0,Exchange for Formate [e0],Formate [e0] --> ,1.0968450470157792e-05
12,EX_cpd00048_e0,Exchange for Sulfate [e0],Sulfate [e0] <=> ,-5.484225235052875e-06
13,EX_cpd00058_e0,Exchange for Cu2+ [e0],Cu2+ [e0] <=> ,-0.0
14,EX_cpd00063_e0,Exchange for Ca2+ [e0],Ca2+ [e0] <=> ,-0.0
15,EX_cpd00067_e0,Exchange for H+ [e0],H+ [e0] <=> ,-0.8354250386626594
16,EX_cpd00071_e0,Exchange for Acetaldehyde [e0],Acetaldehyde [e0] --> ,-0.0
17,EX_cpd00081_e0,Exchange for Sulfite [e0],Sulfite [e0] --> ,-0.0
18,EX_cpd00099_e0,Exchange for Cl- [e0],Cl- [e0] <=> ,-0.0
19,EX_cpd00104_e0,Exchange for BIOT [e0],BIOT [e0] --> ,0.0
20,EX_cpd00166_e0,Exchange for Calomide [e0],Calomide [e0] --> ,0.0
21,EX_cpd00205_e0,Exchange for K+ [e0],K+ [e0] <=> ,-0.0
22,EX_cpd00221_e0,Exchange for D-Lactate [e0],D-Lactate [e0] --> ,-0.0
23,EX_cpd00239_e0,Exchange for H2S [e0],H2S [e0] <=> ,-0.0002599755284686056
24,EX_cpd00268_e0,Exchange for H2S2O3 [e0],H2S2O3 [e0] --> ,-0.0
25,EX_cpd00528_e0,Exchange for N2 [e0],N2 [e0] <=> ,-0.0
26,EX_cpd00531_e0,Exchange for Hg2+ [e0],Hg2+ [e0] --> ,0.0
27,EX_cpd00635_e0,Exchange for Cbl [e0],Cbl [e0] --> ,0.0
28,EX_cpd00731_e0,Exchange for Ala-Ala [e0],Ala-Ala [e0] --> ,0.0
29,EX_cpd00971_e0,Exchange for Na+ [e0],Na+ [e0] <=> ,-0.0
30,EX_cpd01012_e0,Exchange for Cd2+ [e0],Cd2+ [e0] --> ,-0.0
31,EX_cpd01017_e0,Exchange for Cys-Gly [e0],Cys-Gly [e0] --> ,0.0
32,EX_cpd01024_e0,Exchange for Methane [e0],Methane [e0] <=> ,-1.0
33,EX_cpd01414_e0,Exchange for Tetrathionate [e0],Tetrathionate [e0] --> ,-0.0
